Order_ID,Order_Date,Customer_ID,Gender,Age,Product_Category,Product_Name,Quantity,Unit_Price,Sales,Region,Payment_Mode
ORD0001,2024-02-28,CUST891,Male,42,Clothing,Jeans,4,14,56,North,Credit Card
ORD0002,2024-03-28,CUST791,Male,43,Clothing,Jacket,2,28,56,North,Credit Card
ORD0003,2024-05-01,CUST405,Male,19,Grocery,Milk,4,15,60,South,Credit Card
ORD0004,2024-02-27,CUST641,Female,53,Electronics,Laptop,3,27,81,East,Debit Card
ORD0005,2024-06-24,CUST242,Female,42,Clothing,T-Shirt,4,98,392,North,Online
ORD0006,2024-08-09,CUST473,Female,45,Electronics,Smartphone,2,26,52,West,Online
ORD0007,2024-05-27,CUST300,Male,55,Clothing,Jeans,2,42,84,North,Debit Card
ORD0008,2024-07-13,CUST887,Male,44,Home,Chair,3,90,270,West,Credit Card
ORD0009,2024-10-14,CUST854,Female,57,Electronics,Laptop,2,78,156,West,Credit Card
ORD0010,2024-11-13,CUST652,Male,25,Clothing,Jeans,1,148,148,North,Debit Card
ORD0011,2024-03-01,CUST667,Male,36,Home,Chair,1,116,116,West,Credit Card
ORD0012,2024-01-05,CUST751,Male,19,Home,Chair,1,53,53,East,Credit Card
ORD0013,2024-03-06,CUST280,Male,60,Clothing,T-Shirt,5,24,120,South,Cash
ORD0014,2024-07-16,CUST575,Female,64,Home,Lamp,2,128,256,South,Credit Card
ORD0015,2024-06-05,CUST738,Male,23,Clothing,Jeans,2,55,110,North,Online
ORD0016,2024-05-09,CUST458,Male,57,Clothing,Jacket,3,17,51,East,Cash
ORD0017,2024-12-11,CUST939,Male,21,Electronics,Smartphone,3,42,126,East,Cash
ORD0018,2024-01-13,CUST833,Female,23,Clothing,Jacket,5,63,315,East,Debit Card
ORD0019,2024-11-21,CUST227,Female,59,Home,Table,2,81,162,East,Debit Card
ORD0020,2024-11-16,CUST602,Male,18,Grocery,Snacks,3,108,324,East,Debit Card
ORD0021,2024-12-11,CUST853,Female,22,Clothing,Jeans,2,70,140,South,Online
ORD0022,2024-09-03,CUST484,Male,21,Home,Table,2,76,152,South,Debit Card
ORD0023,2024-02-18,CUST410,Male,46,Grocery,Snacks,2,74,148,North,Cash
ORD0024,2024-07-12,CUST473,Male,30,Clothing,Jacket,1,139,139,West,Online
ORD0025,2024-09-04,CUST565,Female,43,Electronics,Laptop,1,58,58,South,Credit Card
ORD0026,2024-11-23,CUST616,Female,33,Home,Table,1,59,59,West,Online
ORD0027,2024-12-21,CUST930,Male,63,Clothing,Jeans,3,107,321,East,Credit Card
ORD0028,2024-04-26,CUST373,Male,19,Electronics,Headphones,2,46,92,West,Credit Card
